form_id,move_id,version_group_id,learn_method_id,level_learned_at,move_order
1,vine-whip,29,1,13,5
1,headbutt,3,4,0,6
1,headbutt,4,4,0,6
1,headbutt,10,3,0,6
1,headbutt,19,4,0,6
1,tackle,1,1,1,7
1,tackle,2,1,1,7
1,tackle,3,1,1,7
1,tackle,4,1,1,7
1,tackle,5,1,1,7
1,tackle,6,1,1,7
1,tackle,7,1,1,7
1,tackle,8,1,1,7
1,tackle,9,1,1,7
1,tackle,10,1,1,7
1,tackle,11,1,1,7
1,tackle,12,1,1,7
1,tackle,13,1,1,7
1,tackle,14,1,1,7
1,tackle,15,1,1,7
1,tackle,16,1,1,7
1,tackle,17,1,1,7
1,tackle,18,1,1,7
1,tackle,19,1,1,7
1,tackle,20,1,1,7
1,tackle,23,1,1,7
1,tackle,25,1,1,7
1,tackle,28,1,1,7
1,tackle,29,1,1,7
1,body-slam,1,4,0,8
1,body-slam,2,4,0,8
1,body-slam,6,3,0,8
1,body-slam,7,3,0,8
1,body-slam,13,3,0,8
1,body-slam,20,4,0,8
1,body-slam,25,4,0,8
1,body-slam,28,4,0,8
1,body-slam,29,4,0,8
1,take-down,1,4,0,9
1,take-down,2,4,0,9
1,take-down,8,1,15,9
1,take-down,9,1,15,9
1,take-down,10,1,15,9
1,take-down,11,1,15,9
1,take-down,14,1,15,9
1,take-down,15,1,15,9
1,take-down,16,1,15,9
1,take-down,17,1,15,9
1,take-down,18,1,15,9
1,take-down,19,1,18,9
1,take-down,20,1,21,9
1,take-down,23,1,21,9
1,take-down,25,1,21,9
1,take-down,25,4,0,9
1,take-down,28,4,0,9
1,take-down,29,4,0,9
1,double-edge,1,4,0,10
1,double-edge,2,4,0,10
1,double-edge,6,3,0,10
1,double-edge,7,3,0,10
1,double-edge,8,1,27,10
1,double-edge,9,1,27,10
1,double-edge,10,1,27,10
1,double-edge,11,1,27,10
1,double-edge,13,3,0,10
1,double-edge,14,1,27,10
1,double-edge,15,1,27,10
1,double-edge,16,1,27,10
1,double-edge,17,1,27,10
1,double-edge,18,1,27,10
1,double-edge,19,1,32,10
1,double-edge,20,1,33,10
1,double-edge,23,1,33,10
1,double-edge,25,4,0,10
1,double-edge,28,4,0,10
1,double-edge,29,4,0,10
1,growl,1,1,1,11
1,growl,2,1,1,11
1,growl,3,1,4,11
1,growl,4,1,4,11
1,growl,5,1,4,11
1,growl,6,1,4,11
1,growl,7,1,4,11
1,growl,8,1,3,11
1,growl,9,1,3,11
1,growl,10,1,3,11
1,growl,11,1,3,11
1,growl,12,1,4,11
1,growl,13,1,4,11
1,growl,14,1,3,11
1,growl,15,1,3,11
1,growl,16,1,3,11
1,growl,17,1,3,11
1,growl,18,1,3,11
1,growl,19,1,1,11
1,growl,20,1,1,11
1,growl,23,1,1,11
1,growl,25,1,1,11
1,growl,28,1,1,11
1,growl,29,1,1,11
1,strength,5,4,0,12
1,strength,6,4,0,12
1,strength,7,4,0,12
1,strength,8,4,0,12
1,strength,9,4,0,12
1,strength,10,4,0,12
1,strength,11,4,0,12
1,strength,12,4,0,12
1,strength,13,4,0,12
1,strength,14,4,0,12
1,strength,15,4,0,12
1,strength,16,4,0,12
1,strength,23,4,0,12
1,mega-drain,1,4,0,13
1,mega-drain,2,4,0,13
1,mega-drain,19,4,0,13
1,mega-drain,28,4,0,13
1,mega-drain,29,4,0,13
1,leech-seed,1,1,7,14
1,leech-seed,2,1,7,14
1,leech-seed,3,1,7,14
1,leech-seed,4,1,7,14
1,leech-seed,5,1,7,14
1,leech-seed,6,1,7,14
1,leech-seed,7,1,7,14
1,leech-seed,8,1,7,14
1,leech-seed,9,1,7,14
1,leech-seed,10,1,7,14
1,leech-seed,11,1,7,14
1,leech-seed,12,1,7,14
1,leech-seed,13,1,7,14
1,leech-seed,14,1,7,14
1,leech-seed,15,1,7,14
1,leech-seed,16,1,7,14
1,leech-seed,18,1,7,14
1,leech-seed,19,1,9,14
1,leech-seed,20,1,9,14
1,leech-seed,23,1,9,14
1,leech-seed,25,1,9,14
1,leech-seed,28,1,7,14
1,leech-seed,29,1,7,14
1,growth,1,1,34,15
1,growth,2,1,34,15
1,growth,3,1,32,15
1,growth,4,1,32,15
1,growth,5,1,32,15
1,growth,6,1,32,15
1,growth,7,1,32,15
1,growth,8,1,25,15
1,growth,9,1,25,15
1,growth,10,1,25,15
1,growth,11,1,25,15
1,growth,12,1,32,15
1,growth,13,1,32,15
1,growth,14,1,25,15
1,growth,15,1,25,15
1,growth,16,1,25,15
1,growth,17,1,25,15
1,growth,18,1,25,15
1,growth,19,1,27,15
1,growth,20,1,6,15
1,growth,23,1,6,15
1,growth,25,1,6,15
1,growth,28,1,34,15
1,growth,29,1,34,15
1,razor-leaf,1,1,27,16
1,razor-leaf,2,1,27,16
1,razor-leaf,3,1,20,16
1,razor-leaf,4,1,20,16
1,razor-leaf,5,1,20,16
1,razor-leaf,6,1,20,16
1,razor-leaf,7,1,20,16
1,razor-leaf,8,1,19,16
1,razor-leaf,9,1,19,16
1,razor-leaf,10,1,19,16
1,razor-leaf,11,1,19,16
1,razor-leaf,12,1,20,16
1,razor-leaf,13,1,20,16
1,razor-leaf,14,1,19,16
1,razor-leaf,15,1,19,16
1,razor-leaf,16,1,19,16
1,razor-leaf,17,1,19,16
1,razor-leaf,18,1,19,16
1,razor-leaf,19,1,23,16
1,razor-leaf,20,1,12,16
1,razor-leaf,23,1,12,16
1,razor-leaf,25,1,12,16
1,razor-leaf,28,1,27,16
1,razor-leaf,29,1,27,16
1,solar-beam,1,1,48,17
1,solar-beam,1,4,0,17
1,solar-beam,2,1,48,17
1,solar-beam,2,4,0,17
1,solar-beam,3,1,46,17
1,solar-beam,3,4,0,17
1,solar-beam,4,1,46,17
1,solar-beam,4,4,0,17
1,solar-beam,5,1,46,17
1,solar-beam,5,4,0,17
1,solar-beam,6,1,46,17
1,solar-beam,6,4,0,17
1,solar-beam,7,1,46,17
1,solar-beam,7,4,0,17
1,solar-beam,8,4,0,17
1,solar-beam,9,4,0,17
1,solar-beam,10,4,0,17
1,solar-beam,11,4,0,17
1,solar-beam,12,1,46,17
1,solar-beam,12,4,0,17
1,solar-beam,13,1,46,17
1,solar-beam,13,4,0,17
1,solar-beam,14,4,0,17
1,solar-beam,15,4,0,17
1,solar-beam,16,4,0,17
1,solar-beam,17,4,0,17
1,solar-beam,18,4,0,17
1,solar-beam,19,4,0,17
1,solar-beam,20,1,36,17
1,solar-beam,20,4,0,17
1,solar-beam,23,1,36,17
1,solar-beam,23,4,0,17
1,solar-beam,25,1,36,17
1,solar-beam,25,4,0,17
1,solar-beam,28,1,48,17
1,solar-beam,28,4,0,17
1,solar-beam,29,1,48,17
1,solar-beam,29,4,0,17
1,poison-powder,1,1,20,18
1,poison-powder,2,1,20,18
1,poison-powder,3,1,15,18
1,poison-powder,4,1,15,18
1,poison-powder,5,1,15,18
1,poison-powder,6,1,15,18
1,poison-powder,7,1,15,18
1,poison-powder,8,1,13,18
1,poison-powder,9,1,13,18
1,poison-powder,10,1,13,18
1,poison-powder,11,1,13,18
1,poison-powder,12,1,15,18
1,poison-powder,13,1,15,18
1,poison-powder,14,1,13,18
1,poison-powder,15,1,13,18
1,poison-powder,16,1,13,18
1,poison-powder,17,1,13,18
1,poison-powder,18,1,13,18
1,poison-powder,19,1,14,18
1,poison-powder,20,1,15,18
1,poison-powder,23,1,15,18
1,poison-powder,25,1,15,18
1,poison-powder,28,1,20,18
1,poison-powder,29,1,20,18
1,sleep-powder,1,1,41,19
1,sleep-powder,2,1,41,19
1,sleep-powder,3,1,15,19
1,sleep-powder,4,1,15,19
1,sleep-powder,5,1,15,19
1,sleep-powder,6,1,15,19
1,sleep-powder,7,1,15,19
1,sleep-powder,8,1,13,19
1,sleep-powder,9,1,13,19
1,sleep-powder,10,1,13,19
1,sleep-powder,11,1,13,19
1,sleep-powder,12,1,15,19
1,sleep-powder,13,1,15,19
1,sleep-powder,14,1,13,19
1,sleep-powder,15,1,13,19
1,sleep-powder,16,1,13,19
1,sleep-powder,17,1,13,19
1,sleep-powder,18,1,13,19
1,sleep-powder,19,1,14,19
1,sleep-powder,20,1,15,19
1,sleep-powder,23,1,15,19
1,sleep-powder,25,1,15,19
1,sleep-powder,28,1,41,19
1,sleep-powder,29,1,41,19
1,petal-dance,3,2,0,20
1,petal-dance,4,2,0,20
1,petal-dance,5,2,0,20
1,petal-dance,6,2,0,20
1,petal-dance,7,2,0,20
1,petal-dance,8,2,0,20
1,petal-dance,9,2,0,20
1,petal-dance,10,2,0,20
1,petal-dance,11,2,0,20
1,petal-dance,14,2,0,20
1,petal-dance,15,2,0,20
1,petal-dance,16,2,0,20
1,petal-dance,17,2,0,20
1,petal-dance,18,2,0,20
1,petal-dance,20,2,0,20
1,petal-dance,23,2,0,20
1,petal-dance,25,2,0,20
1,string-shot,10,3,0,21
1,toxic,1,4,0,22
1,toxic,2,4,0,22
1,toxic,3,4,0,22
1,toxic,4,4,0,22
1,toxic,5,4,0,22
1,toxic,6,4,0,22
1,toxic,7,4,0,22
1,toxic,8,4,0,22
1,toxic,9,4,0,22
1,toxic,10,4,0,22
1,toxic,11,4,0,22
1,toxic,12,4,0,22
1,toxic,13,4,0,22
1,toxic,14,4,0,22
1,toxic,15,4,0,22
1,toxic,16,4,0,22
1,toxic,17,4,0,22
1,toxic,18,4,0,22
1,toxic,19,4,0,22
1,toxic,20,2,0,22
1,toxic,23,4,0,22
1,toxic,25,2,0,22
1,toxic,25,4,0,22
1,toxic,28,4,0,22
1,toxic,29,4,0,22
1,rage,1,4,0,23
1,rage,2,4,0,23
1,rage,28,4,0,23
1,rage,29,4,0,23
1,mimic,1,4,0,24
1,mimic,2,4,0,24
1,mimic,6,3,0,24
1,mimic,7,3,0,24
1,mimic,13,3,0,24
1,mimic,28,4,0,24
1,mimic,29,4,0,24
1,double-team,1,4,0,25
1,double-team,2,4,0,25
1,double-team,3,4,0,25
1,double-team,4,4,0,25
1,double-team,5,4,0,25
1,double-team,6,4,0,25
1,double-team,7,4,0,25
1,double-team,8,4,0,25
1,double-team,9,4,0,25
1,double-team,10,4,0,25
1,double-team,11,4,0,25
1,double-team,12,4,0,25
1,double-team,13,4,0,25
1,double-team,14,4,0,25
1,double-team,15,4,0,25
1,double-team,16,4,0,25
1,double-team,17,4,0,25
1,double-team,18,4,0,25
1,double-team,23,4,0,25
1,double-team,28,4,0,25
1,double-team,29,4,0,25
1,defense-curl,3,4,0,26
1,defense-curl,4,4,0,26
1,defense-curl,6,3,0,26
1,light-screen,3,2,0,27
1,light-screen,4,2,0,27
1,light-screen,5,2,0,27
1,light-screen,6,2,0,27
1,light-screen,7,2,0,27
1,light-screen,8,2,0,27
1,light-screen,9,2,0,27
1,light-screen,10,2,0,27
1,light-screen,11,4,0,27
1,light-screen,14,4,0,27
1,light-screen,15,4,0,27
1,light-screen,16,4,0,27
1,light-screen,17,4,0,27
1,light-screen,18,4,0,27
1,light-screen,19,4,0,27
1,light-screen,20,4,0,27
1,light-screen,23,4,0,27
1,reflect,1,4,0,28
1,reflect,2,4,0,28
1,reflect,19,4,0,28
1,reflect,28,4,0,28
1,reflect,29,4,0,28
1,bide,1,4,0,29
1,bide,2,4,0,29
1,bide,28,4,0,29
1,bide,29,4,0,29
1,sludge,10,2,0,30
1,sludge,11,2,0,30
1,sludge,14,2,0,30
1,sludge,15,2,0,30
1,sludge,16,2,0,30
1,sludge,17,2,0,30
1,sludge,18,2,0,30
1,sludge,23,2,0,30
1,skull-bash,3,2,0,31
1,skull-bash,4,2,0,31
1,skull-bash,5,2,0,31
1,skull-bash,6,2,0,31
1,skull-bash,7,2,0,31
1,skull-bash,8,2,0,31
1,skull-bash,9,2,0,31
1,skull-bash,10,2,0,31
1,skull-bash,11,2,0,31
1,skull-bash,14,2,0,31
1,skull-bash,15,2,0,31
1,skull-bash,16,2,0,31
1,skull-bash,17,2,0,31
1,skull-bash,18,2,0,31
1,skull-bash,20,2,0,31
1,skull-bash,23,2,0,31
1,amnesia,8,2,0,32
1,amnesia,9,2,0,32
1,amnesia,10,2,0,32
1,amnesia,11,2,0,32
1,amnesia,14,2,0,32
1,amnesia,15,2,0,32
1,amnesia,16,2,0,32
1,amnesia,17,2,0,32
1,amnesia,18,2,0,32
1,amnesia,20,4,0,32
1,amnesia,23,2,0,32
1,flash,3,4,0,33
1,flash,4,4,0,33
1,flash,5,4,0,33
1,flash,6,4,0,33
1,flash,7,4,0,33
1,flash,8,4,0,33
1,flash,9,4,0,33
1,flash,10,4,0,33
1,flash,11,4,0,33
1,flash,12,4,0,33
1,flash,13,4,0,33
1,flash,14,4,0,33
1,flash,15,4,0,33
1,flash,16,4,0,33
1,flash,23,4,0,33
1,rest,1,4,0,34
1,rest,2,4,0,34
1,rest,3,4,0,34
1,rest,4,4,0,34
1,rest,5,4,0,34
1,rest,6,4,0,34
1,rest,7,4,0,34
1,rest,8,4,0,34
1,rest,9,4,0,34
1,rest,10,4,0,34
1,rest,11,4,0,34
1,rest,12,4,0,34
1,rest,13,4,0,34
1,rest,14,4,0,34
1,rest,15,4,0,34
1,rest,16,4,0,34
1,rest,17,4,0,34
1,rest,18,4,0,34
1,rest,19,4,0,34
1,rest,20,4,0,34
1,rest,23,4,0,34
1,rest,25,4,0,34
1,rest,28,4,0,34
1,rest,29,4,0,34
1,substitute,1,4,0,35
1,substitute,2,4,0,35
1,substitute,6,3,0,35
1,substitute,7,3,0,35
1,substitute,8,4,0,35
1,substitute,9,4,0,35
1,substitute,10,4,0,35
1,substitute,11,4,0,35
1,substitute,13,3,0,35
1,substitute,14,4,0,35
1,substitute,15,4,0,35
1,substitute,16,4,0,35
1,substitute,17,4,0,35
1,substitute,18,4,0,35
1,substitute,19,4,0,35
1,substitute,20,4,0,35
1,substitute,23,4,0,35
1,substitute,25,4,0,35
1,substitute,28,4,0,35
1,substitute,29,4,0,35
1,snore,3,4,0,36
1,snore,4,4,0,36
1,snore,6,3,0,36
1,snore,9,3,0,36
1,snore,10,3,0,36
1,snore,14,3,0,36
1,snore,16,3,0,36
1,snore,18,3,0,36
1,snore,20,4,0,36
1,curse,3,4,0,37
1,curse,4,4,0,37
1,curse,5,2,0,37
1,curse,6,2,0,37
1,curse,7,2,0,37
1,curse,8,2,0,37
1,curse,9,2,0,37
1,curse,10,2,0,37
1,curse,11,2,0,37
1,curse,14,2,0,37
1,curse,15,2,0,37
1,curse,16,2,0,37
1,curse,17,2,0,37
1,curse,18,2,0,37
1,curse,20,2,0,37
1,curse,23,2,0,37
1,curse,25,2,0,37
1,curse,25,4,0,37
1,protect,3,4,0,38
1,protect,4,4,0,38
1,protect,5,4,0,38
1,protect,6,4,0,38
1,protect,7,4,0,38
1,protect,8,4,0,38
1,protect,9,4,0,38
1,protect,10,4,0,38
1,protect,11,4,0,38
1,protect,12,4,0,38
1,protect,13,4,0,38
1,protect,14,4,0,38
1,protect,15,4,0,38
1,protect,16,4,0,38
1,protect,17,4,0,38
1,protect,18,4,0,38
1,protect,19,4,0,38
1,protect,20,4,0,38
1,protect,23,4,0,38
1,protect,25,4,0,38
1,sludge-bomb,5,4,0,39
1,sludge-bomb,6,4,0,39
1,sludge-bomb,7,4,0,39
1,sludge-bomb,8,4,0,39
1,sludge-bomb,9,4,0,39
1,sludge-bomb,10,4,0,39
1,sludge-bomb,11,4,0,39
1,sludge-bomb,12,4,0,39
1,sludge-bomb,13,4,0,39
1,sludge-bomb,14,4,0,39
1,sludge-bomb,15,4,0,39
1,sludge-bomb,16,4,0,39
1,sludge-bomb,17,4,0,39
1,sludge-bomb,18,4,0,39
1,sludge-bomb,19,4,0,39
1,sludge-bomb,20,4,0,39
1,sludge-bomb,23,4,0,39
1,sludge-bomb,25,4,0,39
1,mud-slap,3,4,0,40
1,mud-slap,4,4,0,40
1,mud-slap,6,3,0,40
1,mud-slap,9,3,0,40
1,mud-slap,10,3,0,40
1,outrage,19,4,0,41
1,giga-drain,3,4,0,42
1,giga-drain,4,4,0,42
1,giga-drain,5,4,0,42
1,giga-drain,6,4,0,42
1,giga-drain,7,4,0,42
1,giga-drain,8,4,0,42
1,giga-drain,9,4,0,42
1,giga-drain,10,4,0,42
1,giga-drain,11,2,0,42
1,giga-drain,12,4,0,42
1,giga-drain,13,4,0,42
1,giga-drain,14,2,0,42
1,giga-drain,14,3,0,42
1,giga-drain,15,2,0,42
1,giga-drain,16,2,0,42
1,giga-drain,16,3,0,42
1,giga-drain,17,2,0,42
1,giga-drain,18,2,0,42
1,giga-drain,18,3,0,42
1,giga-drain,20,4,0,42
1,giga-drain,23,4,0,42
1,giga-drain,25,4,0,42
1,endure,3,4,0,43
1,endure,4,4,0,43
1,endure,6,3,0,43
1,endure,8,4,0,43
1,endure,9,4,0,43
1,endure,10,4,0,43
1,endure,11,2,0,43
1,endure,14,2,0,43
1,endure,15,2,0,43
1,endure,16,2,0,43
1,endure,17,2,0,43
1,endure,18,2,0,43
1,endure,20,4,0,43
1,endure,23,4,0,43
1,endure,25,4,0,43
1,charm,3,2,0,44
1,charm,5,2,0,44
1,charm,6,2,0,44
1,charm,7,2,0,44
1,charm,8,2,0,44
1,charm,9,2,0,44
1,charm,10,2,0,44
1,charm,11,2,0,44
1,charm,14,2,0,44
1,charm,15,2,0,44
1,charm,16,2,0,44
1,charm,17,2,0,44
1,charm,18,2,0,44
1,charm,20,4,0,44
1,charm,23,2,0,44
1,charm,25,4,0,44
1,false-swipe,20,4,0,45
1,false-swipe,23,4,0,45
1,false-swipe,25,4,0,45
1,swagger,3,4,0,46
1,swagger,4,4,0,46
1,swagger,6,3,0,46
1,swagger,8,4,0,46
1,swagger,9,4,0,46
1,swagger,10,4,0,46
1,swagger,11,4,0,46
1,swagger,13,3,0,46
1,swagger,14,4,0,46
1,swagger,15,4,0,46
1,swagger,16,4,0,46
1,swagger,17,4,0,46
1,swagger,18,4,0,46
1,swagger,23,4,0,46
1,fury-cutter,3,4,0,47
1,fury-cutter,4,4,0,47
1,fury-cutter,6,3,0,47
1,fury-cutter,9,3,0,47
1,fury-cutter,10,3,0,47
1,attract,3,4,0,48
1,attract,4,4,0,48
1,attract,5,4,0,48
1,attract,6,4,0,48
1,attract,7,4,0,48
1,attract,8,4,0,48
1,attract,9,4,0,48
1,attract,10,4,0,48
1,attract,11,4,0,48
1,attract,12,4,0,48
1,attract,13,4,0,48
1,attract,14,4,0,48
1,attract,15,4,0,48
1,attract,16,4,0,48
1,attract,17,4,0,48
1,attract,18,4,0,48
1,attract,20,4,0,48
1,attract,23,4,0,48
1,sleep-talk,3,4,0,49
1,sleep-talk,4,4,0,49
1,sleep-talk,6,3,0,49
1,sleep-talk,8,4,0,49
1,sleep-talk,9,4,0,49
1,sleep-talk,10,4,0,49
1,sleep-talk,14,3,0,49
1,sleep-talk,15,4,0,49
1,sleep-talk,16,4,0,49
1,sleep-talk,17,4,0,49
1,sleep-talk,18,4,0,49
1,sleep-talk,20,4,0,49
1,sleep-talk,23,4,0,49
1,sleep-talk,25,4,0,49
1,return,3,4,0,50
1,return,4,4,0,50
1,return,5,4,0,50
1,return,6,4,0,50
1,return,7,4,0,50
1,return,8,4,0,50
1,return,9,4,0,50
1,return,10,4,0,50
1,return,11,4,0,50
1,return,12,4,0,50
1,return,13,4,0,50
1,return,14,4,0,50
1,return,15,4,0,50
1,return,16,4,0,50
1,return,17,4,0,50
1,return,18,4,0,50
1,frustration,3,4,0,51
1,frustration,4,4,0,51
1,frustration,5,4,0,51
1,frustration,6,4,0,51
1,frustration,7,4,0,51
1,frustration,8,4,0,51
1,frustration,9,4,0,51
1,frustration,10,4,0,51
1,frustration,11,4,0,51
1,frustration,12,4,0,51
1,frustration,13,4,0,51
1,frustration,14,4,0,51
1,frustration,15,4,0,51
1,frustration,16,4,0,51
1,frustration,17,4,0,51
1,frustration,18,4,0,51
1,safeguard,3,2,0,52
1,safeguard,4,2,0,52
1,safeguard,5,2,0,52
1,safeguard,6,2,0,52
1,safeguard,7,2,0,52
1,safeguard,8,2,0,52
1,safeguard,9,2,0,52
1,safeguard,10,2,0,52
1,safeguard,11,4,0,52
1,safeguard,14,4,0,52
1,safeguard,15,4,0,52
1,safeguard,16,4,0,52
1,safeguard,17,4,0,52
1,safeguard,18,4,0,52
1,safeguard,20,4,0,52
1,safeguard,23,4,0,52
1,sweet-scent,3,1,25,53
1,sweet-scent,3,4,0,53
1,sweet-scent,4,1,25,53
1,sweet-scent,4,4,0,53
1,sweet-scent,5,1,25,53
1,sweet-scent,6,1,25,53
1,sweet-scent,7,1,25,53
1,sweet-scent,8,1,21,53
1,sweet-scent,9,1,21,53
1,sweet-scent,10,1,21,53
1,sweet-scent,11,1,21,53
1,sweet-scent,12,1,25,53
1,sweet-scent,13,1,25,53
1,sweet-scent,14,1,21,53
1,sweet-scent,15,1,21,53
1,sweet-scent,16,1,21,53
1,sweet-scent,17,1,21,53
1,sweet-scent,18,1,21,53
1,sweet-scent,20,1,24,53
1,sweet-scent,23,1,24,53
1,sweet-scent,25,1,24,53
1,synthesis,3,1,39,54
1,synthesis,4,1,39,54
1,synthesis,5,1,39,54
1,synthesis,6,1,39,54
1,synthesis,7,1,39,54
1,synthesis,8,1,33,54
1,synthesis,9,1,33,54
1,synthesis,9,3,0,54
1,synthesis,10,1,33,54
1,synthesis,10,3,0,54
1,synthesis,11,1,33,54
1,synthesis,12,1,39,54
1,synthesis,13,1,39,54
1,synthesis,14,1,33,54
1,synthesis,14,3,0,54
1,synthesis,15,1,33,54
1,synthesis,16,1,33,54
1,synthesis,16,3,0,54
1,synthesis,17,1,33,54
1,synthesis,18,1,33,54
1,synthesis,18,3,0,54
1,synthesis,20,1,27,54
1,synthesis,23,1,27,54
1,synthesis,25,1,27,54
1,hidden-power,3,4,0,55
1,hidden-power,4,4,0,55
1,hidden-power,5,4,0,55
1,hidden-power,6,4,0,55
1,hidden-power,7,4,0,55
1,hidden-power,8,4,0,55
1,hidden-power,9,4,0,55
1,hidden-power,10,4,0,55
1,hidden-power,11,4,0,55
1,hidden-power,12,4,0,55
1,hidden-power,13,4,0,55
1,hidden-power,14,4,0,55
1,hidden-power,15,4,0,55
1,hidden-power,16,4,0,55
1,hidden-power,17,4,0,55
1,hidden-power,18,4,0,55
1,sunny-day,3,4,0,56
1,sunny-day,4,4,0,56
1,sunny-day,5,4,0,56
1,sunny-day,6,4,0,56
1,sunny-day,7,4,0,56
1,sunny-day,8,4,0,56
1,sunny-day,9,4,0,56
1,sunny-day,10,4,0,56
1,sunny-day,11,4,0,56
1,sunny-day,12,4,0,56
1,sunny-day,13,4,0,56
1,sunny-day,14,4,0,56
1,sunny-day,15,4,0,56
1,sunny-day,16,4,0,56
1,sunny-day,17,4,0,56
1,sunny-day,18,4,0,56
1,sunny-day,20,4,0,56
1,sunny-day,23,4,0,56
1,sunny-day,25,4,0,56
1,rock-smash,5,4,0,57
1,rock-smash,6,4,0,57
1,rock-smash,7,4,0,57
1,rock-smash,8,4,0,57
1,rock-smash,9,4,0,57
1,rock-smash,10,4,0,57
1,rock-smash,11,4,0,57
1,rock-smash,12,4,0,57
1,rock-smash,13,4,0,57
1,rock-smash,14,4,0,57
1,rock-smash,15,4,0,57
1,rock-smash,16,4,0,57
1,rock-smash,23,4,0,57
1,facade,5,4,0,58
1,facade,6,4,0,58
1,facade,7,4,0,58
1,facade,8,4,0,58
1,facade,9,4,0,58
1,facade,10,4,0,58
1,facade,11,4,0,58
1,facade,12,4,0,58
1,facade,13,4,0,58
1,facade,14,4,0,58
1,facade,15,4,0,58
1,facade,16,4,0,58
1,facade,17,4,0,58
1,facade,18,4,0,58
1,facade,19,4,0,58
1,facade,20,4,0,58
1,facade,23,4,0,58
1,facade,25,4,0,58
1,nature-power,8,2,0,59
1,nature-power,9,2,0,59
1,nature-power,10,2,0,59
1,nature-power,11,2,0,59
1,nature-power,14,2,0,59
1,nature-power,15,2,0,59
1,nature-power,15,4,0,59
1,nature-power,16,2,0,59
1,nature-power,16,4,0,59
1,nature-power,17,2,0,59
1,nature-power,17,4,0,59
1,nature-power,18,2,0,59
1,nature-power,18,4,0,59
1,nature-power,20,2,0,59
1,nature-power,23,2,0,59
1,helping-hand,20,4,0,60
1,helping-hand,25,4,0,60
1,ingrain,8,2,0,61
1,ingrain,9,2,0,61
1,ingrain,10,2,0,61
1,ingrain,11,2,0,61
1,ingrain,14,2,0,61
1,ingrain,15,2,0,61
1,ingrain,16,2,0,61
1,ingrain,17,2,0,61
1,ingrain,18,2,0,61
1,ingrain,20,2,0,61
1,ingrain,23,2,0,61
1,ingrain,25,2,0,61
1,knock-off,9,3,0,62
1,knock-off,10,3,0,62
1,knock-off,14,3,0,62
1,knock-off,16,3,0,62
1,knock-off,18,3,0,62
1,knock-off,25,4,0,62
1,secret-power,5,4,0,63
1,secret-power,6,4,0,63
1,secret-power,7,4,0,63
1,secret-power,8,4,0,63
1,secret-power,9,4,0,63
1,secret-power,10,4,0,63
1,secret-power,12,4,0,63
1,secret-power,13,4,0,63
1,secret-power,16,4,0,63
1,weather-ball,20,4,0,64
1,weather-ball,25,4,0,64
1,grass-whistle,5,2,0,65
1,grass-whistle,6,2,0,65
1,grass-whistle,7,2,0,65
1,grass-whistle,8,2,0,65
1,grass-whistle,9,2,0,65
1,grass-whistle,10,2,0,65
1,grass-whistle,11,2,0,65
1,grass-whistle,14,2,0,65
1,grass-whistle,15,2,0,65
1,grass-whistle,16,2,0,65
1,grass-whistle,17,2,0,65
1,grass-whistle,18,2,0,65
1,bullet-seed,5,4,0,66
1,bullet-seed,6,4,0,66
1,bullet-seed,7,4,0,66
1,bullet-seed,8,4,0,66
1,bullet-seed,9,4,0,66
1,bullet-seed,10,4,0,66
